,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Quartile rank,Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,0,100.1924,100.6418,159.747,144.9512,94.5181,79.7513,359.635,539.816,297.163
1,2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,0,101.1915,102.38799999999999,131.0499,127.2971,93.9538,68.8473,471.787,540.622,314.822
2,3,Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,0,100.18299999999999,100.2746,114.18299999999999,119.3684,98.6869,66.2914,444.63800000000003,447.525,284.04200000000003
3,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,0,99.4831,99.5827,117.7392,117.5228,96.7979,51.7824,31.194000000000003,35.650999999999996,18.59
4,5,Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,0,103.2904,103.2833,133.812,131.6286,85.3463,75.5978,1192.268,1611.016,836.946
5,6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,0,104.0375,104.7571,100.2834,104.1965,58.4498,57.303000000000004,498.338,609.783,295.149
6,7,Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,0,126.5019,123.2852,153.2816,137.0797,77.5019,50.3083,826.685,856.0939999999999,426.18800000000005
7,8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,0,100.2302,99.8044,118.1915,111.0958,97.1466,67.8234,384.251,486.3339,268.6457
8,9,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,0,101.4723,101.3976,113.8878,112.2415,77.0655,57.5123,2318.9139999999998,2640.933,1593.3829999999998
9,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,0,103.7416,104.2258,99.4723,104.0974,93.6227,79.3647,334.9332,687.3618,430.3704
10,11,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,0,100.9155,100.9498,141.7616,159.769,134.0807,94.3553,2216.779,2650.486,1774.852
11,12,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,0,110.2886,109.664,129.4503,122.8062,62.1833,49.3117,475.756,462.855,221.291
12,13,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,0,104.2943,103.3702,104.8353,103.088,73.6486,52.233000000000004,917.118,819.462,377.21
13,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,0,100.631,100.9415,105.2977,102.1167,20.6333,18.5635,36.626,47.715,6.954
14,15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,0,101.3382,101.4859,160.4866,144.2492,68.5325,50.6782,4721.647,7642.062,2387.2802
15,16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,0,101.04299999999999,101.6268,118.6134,115.5167,81.5645,73.7168,553.585,360.088,218.41099999999997
16,17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,0,102.7153,103.2398,99.0635,104.5887,68.2848,68.3674,2895.195,7073.1638,3043.0840000000003
17,18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,0,103.2575,103.3755,170.3596,152.1193,86.0286,66.0998,797.39,1196.383,508.27
19,22,Malta,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,0,106.6372,102.6201,97.7691,93.7982,56.7766,41.5437,25.177,28.776,13.329
20,23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,0,103.8805,103.2667,104.2179,95.7649,38.7721,37.5999,14182.288,14034.552,4430.248
21,24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,0,101.7145,102.2474,103.4942,102.7146,71.4589,57.6803,4284.1720000000005,6016.608,2480.186
22,26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,0,100.0897,102.802,100.1631,99.1724,98.4623,84.7837,1514.761,1520.724,1238.992
23,27,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,0,99.6255,102.7186,51.4746,54.1349,23.5579,20.0414,2348.863,1220.327,366.67400000000004
24,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,0,115.1921,117.26299999999999,101.5363,131.3484,68.4791,69.367,3734.6929999999998,3419.441,1680.9129999999998
25,29,Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,0,103.8009,104.6289,96.3391,77.2783,51.0396,6.5855,146.418,103.042,31.276999999999997
26,30,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,0,104.4547,103.3214,128.4126,127.51299999999999,99.1654,83.5089,3027.7509999999997,3329.389,1968.7020000000002
27,31,Panama,6.321000000000001,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,0,92.23,93.8979,83.1024,80.9299,58.0001,36.8482,408.961,344.79,156.635
28,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,0,112.444,115.3641,103.9448,99.2399,58.7549,42.53,16118.565,23538.072,8319.089
29,33,Uruguay,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,0,104.3162,106.5959,109.2583,93.0201,57.9585,34.5089,309.806,347.841,162.42700000000002
30,34,Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,0,100.6929,100.8504,107.6506,108.5855,90.5745,77.8588,236.94299999999998,179.676,195.125
31,35,El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,0,94.8768,98.1478,71.5501,72.0701,30.2724,27.0638,678.137,535.68,186.067
32,36,Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,0,100.2414,100.4633,101.89,103.7215,72.4167,54.0911,2831.821,4589.55,1815.95
